Label,Precision,Recall,F1-score
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1,1,1
CommonStockSharesOutstanding,1,1,1
ContractWithCustomerLiability,1,1,1
ContractWithCustomerLiabilityRevenueRecognized,1,1,1
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,1,1,1
DebtInstrumentRedemptionPricePercentage,1,1,1
DebtInstrumentUnamortizedDiscount,1,1,1
Depreciation,1,1,1
IncomeLossFromEquityMethodInvestments,1,1,1
InterestExpenseDebt,1,1,1
OperatingLeasePayments,1,1,1
OperatingLeaseWeightedAverageDiscountRatePercent,1,1,1
PreferredStockDividendRatePercentage,1,1,1
RevenueRemainingPerformanceObligation,1,1,1
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,1,1,1
SharebasedCompensationArrangementBySharebasedPaymentAwardAwardVestingRightsPercentage,1,1,1
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,1,1,1
SupplementalInformationForPropertyCasualtyInsuranceUnderwritersPriorYearClaimsAndClaimsAdjustmentExpense,1,1,1
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedPeriodForRecognition1,1,0.9583,0.9787
EffectiveIncomeTaxRateContinuingOperations,0.9767,0.9767,0.9767
NumberOfRealEstateProperties,1,0.9,0.9474
ConcentrationRiskPercentage1,0.88,1,0.9362
IncomeTaxExpenseBenefit,1,0.8667,0.9286
CommonStockParOrStatedValuePerShare,0.9231,0.9231,0.9231
CommonStockDividendsPerShareDeclared,0.8333,1,0.9091
DebtInstrumentInterestRateEffectivePercentage,0.8333,1,0.9091
DeferredFinanceCostsGross,0.8333,1,0.9091
Goodwill,0.8333,1,0.9091
StockRepurchaseProgramAuthorizedAmount1,0.8235,1,0.9032
DefinedContributionPlanCostRecognized,0.8182,1,0.9
DebtInstrumentInterestRateStatedPercentage,0.8947,0.8947,0.8947
PublicUtilitiesRequestedRateIncreaseDecreaseAmount,0.8,1,0.8889
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,1,0.8,0.8889
DebtInstrumentBasisSpreadOnVariableRate1,0.8375,0.9437,0.8874
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.8462,0.9167,0.88
PropertyPlantAndEquipmentUsefulLife,0.875,0.875,0.875
NumberOfReportableSegments,0.8333,0.9091,0.8696
AllocatedShareBasedCompensationExpense,0.7547,1,0.8602
BusinessAcquisitionPercentageOfVotingInterestsAcquired,0.8571,0.8571,0.8571
DeferredFinanceCostsNet,1,0.75,0.8571
GuaranteeObligationsMaximumExposure,1,0.75,0.8571
LesseeOperatingLeaseRenewalTerm,1,0.75,0.8571
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,1,0.75,0.8571
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,0.75,1,0.8571
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,1,0.75,0.8571
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,0.8,0.8889,0.8421
UnrecognizedTaxBenefits,0.7273,1,0.8421
OperatingLeaseRightOfUseAsset,0.7727,0.8947,0.8293
OperatingLeaseLiability,0.9231,0.75,0.8276
DerivativeNotionalAmount,0.7778,0.875,0.8235
ShareBasedCompensationArrangementByShareBasedPaymentAwardAwardVestingPeriod1,0.7,1,0.8235
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,0.7273,0.9231,0.8136
LettersOfCreditOutstandingAmount,0.6818,1,0.8108
DebtInstrumentConvertibleConversionPrice1,1,0.6667,0.8
DerivativeFixedInterestRate,1,0.6667,0.8
GoodwillImpairmentLoss,0.6667,1,0.8
LossContingencyPendingClaimsNumber,0.6667,1,0.8
NumberOfOperatingSegments,0.8,0.8,0.8
OperatingLossCarryforwards,0.625,1,0.7692
LineOfCreditFacilityMaximumBorrowingCapacity,0.6615,0.9149,0.7679
DebtInstrumentTerm,0.6154,1,0.7619
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,0.6667,0.8889,0.7619
Revenues,1,0.6,0.75
micro avg,0.7231,0.7482,0.7354
AmortizationOfIntangibleAssets,0.72,0.75,0.7347
RestructuringCharges,0.6111,0.9167,0.7333
weighted avg,0.7169,0.7482,0.7111
TreasuryStockSharesAcquired,0.55,0.9167,0.6875
LineOfCreditFacilityRemainingBorrowingCapacity,0.75,0.6316,0.6857
BusinessCombinationAcquisitionRelatedCosts,1,0.5,0.6667
BusinessCombinationContingentConsiderationLiability,0.5714,0.8,0.6667
DefinedBenefitPlanContributionsByEmployer,1,0.5,0.6667
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,0.5,1,0.6667
GainsLossesOnExtinguishmentOfDebt,0.5,1,0.6667
LineOfCredit,0.7647,0.5909,0.6667
LossContingencyDamagesSoughtValue,0.5,1,0.6667
PreferredStockSharesAuthorized,1,0.5,0.6667
ProceedsFromIssuanceOfCommonStock,0.5,1,0.6667
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,0.6667,0.6667,0.6667
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,1,0.5,0.6667
DebtInstrumentFaceAmount,0.6341,0.65,0.642
CapitalizedContractCostAmortization,0.5714,0.7273,0.64
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,0.5185,0.8235,0.6364
macro avg,0.659,0.6809,0.6362
SharePrice,0.6667,0.6,0.6316
OperatingLeaseWeightedAverageRemainingLeaseTerm1,0.7143,0.5556,0.625
EquityMethodInvestmentOwnershipPercentage,0.5,0.8235,0.6222
EquityMethodInvestments,0.6667,0.5714,0.6154
AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife,0.4583,0.9167,0.6111
TreasuryStockAcquiredAverageCostPerShare,0.4286,1,0.6
LongTermDebtFairValue,0.4545,0.8333,0.5882
AreaOfRealEstateProperty,0.4,1,0.5714
CashAndCashEquivalentsFairValueDisclosure,0.4,1,0.5714
SaleOfStockPricePerShare,0.6667,0.5,0.5714
SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod,0.6667,0.5,0.5714
RevenueFromRelatedParties,0.4,0.8,0.5333
CommonStockSharesAuthorized,0.4545,0.625,0.5263
LineOfCreditFacilityUnusedCapacityCommitmentFeePercentage,0.75,0.4,0.5217
StockIssuedDuringPeriodSharesNewIssues,0.3529,1,0.5217
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,0.5,0.5,0.5
DebtWeightedAverageInterestRate,0.4,0.6667,0.5
LeaseAndRentalExpense,0.375,0.75,0.5
PaymentsToAcquireBusinessesGross,0.6667,0.4,0.5
RepaymentsOfDebt,1,0.3333,0.5
BusinessCombinationConsiderationTransferred1,0.36,0.6429,0.4615
DebtInstrumentCarryingAmount,0.4286,0.5,0.4615
MinorityInterestOwnershipPercentageByParent,0.5,0.4286,0.4615
AssetImpairmentCharges,0.5,0.4,0.4444
RestructuringAndRelatedCostExpectedCost1,0.6667,0.3333,0.4444
LossContingencyEstimateOfPossibleLoss,0.5,0.3333,0.4
OperatingLeaseCost,1,0.25,0.4
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,0.5,0.3333,0.4
DebtInstrumentMaturityDate,0.6,0.2727,0.375
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,0.4,0.3333,0.3636
LossContingencyAccrualAtCarryingValue,0.5,0.2857,0.3636
RevenueFromContractWithCustomerExcludingAssessedTax,0.2632,0.5556,0.3571
LesseeOperatingLeaseTermOfContract,0.2667,0.5,0.3478
RelatedPartyTransactionAmountsOfTransaction,0.5,0.2222,0.3077
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,1,0.1667,0.2857
DisposalGroupIncludingDiscontinuedOperationConsideration,1,0.1429,0.25
SaleOfStockNumberOfSharesIssuedInTransaction,1,0.1429,0.25
LineOfCreditFacilityCommitmentFeePercentage,0.0909,1,0.1667
FiniteLivedIntangibleAssetUsefulLife,0.25,0.0714,0.1111
